# Automatically generated
# duptype id depth size device inode priority name
DUPTYPE_WITHIN_SAME_TREE -334 1 4456 66306 45769909 3 ./amdgpu/kaveri_sdma1.bin
DUPTYPE_WITHIN_SAME_TREE -334 1 4456 66306 45775994 3 ./radeon/mullins_sdma1.bin
DUPTYPE_WITHIN_SAME_TREE -334 1 4456 66306 45776129 3 ./radeon/kaveri_sdma1.bin
DUPTYPE_WITHIN_SAME_TREE -334 1 4456 66306 45776036 3 ./radeon/hawaii_sdma1.bin
DUPTYPE_WITHIN_SAME_TREE -334 1 4456 66306 45776109 3 ./radeon/bonaire_sdma1.bin
DUPTYPE_WITHIN_SAME_TREE -334 1 4456 66306 45776070 3 ./radeon/kabini_sdma1.bin
DUPTYPE_WITHIN_SAME_TREE -334 1 4456 66306 45767402 3 ./amdgpu/hawaii_sdma1.bin
DUPTYPE_WITHIN_SAME_TREE -334 1 4456 66306 45767272 3 ./amdgpu/mullins_sdma1.bin
DUPTYPE_FIRST_OCCURRENCE 333 1 4456 66306 45767398 3 ./amdgpu/bonaire_sdma.bin
DUPTYPE_WITHIN_SAME_TREE -333 1 4456 66306 45767055 3 ./amdgpu/kaveri_sdma.bin
DUPTYPE_WITHIN_SAME_TREE -333 1 4456 66306 45769959 3 ./amdgpu/hawaii_sdma.bin
DUPTYPE_WITHIN_SAME_TREE -333 1 4456 66306 45776137 3 ./radeon/hawaii_sdma.bin
DUPTYPE_WITHIN_SAME_TREE -333 1 4456 66306 45776027 3 ./radeon/kabini_sdma.bin
DUPTYPE_WITHIN_SAME_TREE -333 1 4456 66306 45767374 3 ./amdgpu/kabini_sdma.bin
DUPTYPE_WITHIN_SAME_TREE -333 1 4456 66306 45775447 3 ./radeon/kaveri_sdma.bin
DUPTYPE_WITHIN_SAME_TREE -333 1 4456 66306 45776034 3 ./radeon/bonaire_sdma.bin
DUPTYPE_WITHIN_SAME_TREE -333 1 4456 66306 45767568 3 ./amdgpu/mullins_sdma.bin
DUPTYPE_WITHIN_SAME_TREE -333 1 4456 66306 45776078 3 ./radeon/mullins_sdma.bin
